ID,X,Y,Z,Node,SINIT
466,269144.5247,2750872.277,378.0782282,924,0.003598269
467,266020.6781,2751855.361,377.9298174,925,0.003537626
468,266016.7195,2751826.06,377.9048655,927,0.003538099
469,267312.9366,2751642.83,377.8162818,929,0.003576487
470,267460.6781,2751735.361,377.7080769,931,0.003577931
471,267413.7501,2751717.314,377.6398693,933,0.003577971
472,267398.5073,2751655.287,377.3903825,936,0.0035787
473,267599.1115,2751665.16,377.3740281,937,0.003580042
474,265153.2056,2739358.377,377.2131559,938,0.003668491
475,267020.4805,2751598.895,377.1826325,939,0.003573461
476,269067.8675,2750852.547,376.9709798,942,0.003602065
477,267143.4417,2751502.069,376.9562364,943,0.003576692
478,265536.4631,2739181.766,376.8185068,946,0.003673051
479,266984.1223,2751671.77,376.8042476,948,0.003573611
480,267190.6781,2751645.361,376.7298383,949,0.003579215
481,266980.6781,2751765.361,376.5765945,952,0.003573554
482,266980.6781,2751705.361,376.4568029,953,0.003574459
483,262671.8736,2740096.731,376.3530967,956,0.003634901
484,266980.6781,2751735.361,376.149695,959,0.003575186
485,266530.6781,2751795.361,376.1414468,960,0.003569733
486,267810.4893,2751116.22,375.9829792,961,0.003590952
487,266003.4053,2751768.113,375.9206411,964,0.003546502
488,265251.7406,2739382.503,375.8183052,966,0.00367496
489,266140.6781,2751735.361,375.7618367,968,0.003556595
490,266025.126,2751695.679,375.5671434,971,0.00355089
491,262482.7771,2740031.136,375.4958434,972,0.003637007
492,266710.6781,2751825.361,375.436232,974,0.003574408
493,262000.6781,2740095.361,375.4212498,975,0.003636055
494,266650.6781,2751825.361,375.3313904,977,0.003574311
495,267280.6781,2751645.361,375.2049424,978,0.003585546
496,269290.6781,2750805.361,375.157978,979,0.003609653
497,266860.6781,2751795.361,375.1182439,982,0.003577727
498,267220.6781,2751645.361,375.0946275,983,0.003585237
499,269260.6781,2750805.361,375.0174821,984,0.003610132
